filename,numNodes,area,compromisedMW,compromisedMvar,meanDelay,stdDelay,initialTotalDemand,finalTotalDemand,finalDemandPercentage,generationCapacityTripped,loadsShed,overVoltageLoads,underVoltageLoads,compromisedPV
rms_L(42)_(37)_(36)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15566.775190925482,1.0001140501718908,0.0,0.0,0.0,0.0,0
rms_L(30)_(38)_(28)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15758.066627100248,1.0124038950915675,0.0,0.0,0.0,0.0,0
rms_L(23)_(24)_(34)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15498.047384912548,0.995698514931741,0.0,0.0,0.0,0.0,0
rms_L(43)_(40)_(33)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15306.235335373432,0.9833752223175992,0.0,0.0,0.0,0.0,0
rms_L(29)_(31)_(35)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15733.85896440307,1.0108486324704833,0.0,0.0,0.0,0.0,0
rms_L(39)_(41)_(37)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15742.750763902646,1.011419901310803,0.0,0.0,0.0,0.0,0
rms_L(40)_(41)_(27)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15745.174979066716,1.0115756491530175,0.0,0.0,0.0,0.0,0
rms_L(32)_(26)_(23)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15753.467613050765,1.0121084235818032,0.0,0.0,0.0,0.0,0
rms_L(28)_(31)_(23)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15745.594559702684,1.0116026058273488,0.0,0.0,0.0,0.0,0
rms_L(34)_(36)_(23)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15754.15373252088,1.0121525044986108,0.0,0.0,0.0,0.0,0
rms_L(39)_(40)_(30)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15308.368776601284,0.9835122888918268,0.0,0.0,0.0,0.0,0
rms_L(39)_(37)_(24)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15487.657191030483,0.9950309791860252,0.0,0.0,0.0,0.0,0
rms_L(39)_(26)_(40)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15494.72965275712,0.9954853615648648,0.0,0.0,0.0,0.0,0
rms_L(36)_(39)_(31)_SC1_Lines_C1-C7_.csv,3,C,150,21.000000000000004,0,0,15565.0,15485.85314544737,0.9949150751973896,0.0,0.0,0.0,0.0,0
rms_L(34)_(43)_(23)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15740.85220984395,1.0112979254637937,0.0,0.0,0.0,0.0,0
rms_L(41)_(32)_(36)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15319.509059099917,0.9842280153613824,0.0,0.0,0.0,0.0,0
rms_L(33)_(31)_(40)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15738.25579027865,1.011131114055808,0.0,0.0,0.0,0.0,0
rms_L(40)_(23)_(26)_SC1_Lines_C1-C2_.csv,3,C,150,21.000000000000004,0,0,15565.0,15331.744562226235,0.9850141061500954,0.0,0.0,0.0,0.0,0
rms_L(43)_(25)_(24)_SC8a_Lines_C6a-C8a_.csv,3,C,150,21.000000000000004,0,0,15565.0,15719.286481828305,1.0099123984470482,0.0,0.0,0.0,0.0,0
rms_L(23)_(30)_(40)_SC8a_Lines_C8a-C9_.csv,3,C,150,21.000000000000004,0,0,15565.0,15757.661041919624,1.01237783757916,0.0,0.0,0.0,0.0,0
